DIRECTION;SPEED;TIME
LEFT;6;29:31.4
LEFT;6;29:31.4
LEFT;6;29:31.4
LEFT;6;29:31.4
LEFT;6;29:31.5
LEFT;6;29:31.5
LEFT;6;29:31.5
LEFT;6;29:31.5
LEFT;6;29:31.5
LEFT;6;29:31.5
LEFT;6;29:31.6
LEFT;6;29:31.6
LEFT;6;29:31.6
LEFT;6;29:31.6
LEFT;6;29:31.6
LEFT;6;29:31.6
LEFT;6;29:31.7
LEFT;6;29:31.7
LEFT;6;29:31.7
LEFT;6;29:31.7
LEFT;6;29:31.7
LEFT;6;29:31.7
LEFT;6;29:31.8
LEFT;6;29:31.8
LEFT;6;29:31.8
LEFT;6;29:31.8
LEFT;6;29:31.8
LEFT;6;29:31.8
LEFT;6;29:31.9
LEFT;6;29:31.9
LEFT;6;29:31.9
LEFT;6;29:31.9
LEFT;6;29:31.9
LEFT;6;29:31.9
LEFT;6;29:32.0
LEFT;6;29:32.0
LEFT;6;29:32.0
LEFT;6;29:32.0
LEFT;6;29:32.0
LEFT;6;29:32.0
LEFT;6;29:32.1
LEFT;6;29:32.1
LEFT;6;29:32.1
LEFT;6;29:32.1
LEFT;6;29:32.1
UP;6;29:32.2
UP;6;29:32.2
UP;6;29:32.2
UP;6;29:32.3
UP;6;29:32.3
UP;6;29:32.3
UP;6;29:32.3
UP;6;29:32.3
UP;6;29:32.3
UP;6;29:32.4
UP;6;29:32.4
UP;6;29:32.4
UP;6;29:32.4
UP;6;29:32.4
UP;6;29:32.4
UP;6;29:32.5
UP;6;29:32.5
UP;6;29:32.5
UP;6;29:32.5
LEFT;6;29:32.5
LEFT;6;29:32.5
LEFT;6;29:32.6
LEFT;6;29:32.6
LEFT;6;29:32.6
LEFT;6;29:32.6
LEFT;6;29:32.6
LEFT;6;29:32.6
LEFT;6;29:32.7
LEFT;6;29:32.7
LEFT;6;29:32.7
LEFT;6;29:32.7
DOWN;6;29:33.0
DOWN;6;29:33.0
DOWN;6;29:33.1
DOWN;6;29:33.1
DOWN;6;29:33.1
DOWN;6;29:33.1
DOWN;6;29:33.1
DOWN;6;29:33.1
DOWN;6;29:33.2
DOWN;6;29:33.2
DOWN;6;29:33.2
DOWN;6;29:33.2
DOWN;6;29:33.2
DOWN;6;29:33.2
DOWN;6;29:33.3
DOWN;6;29:33.3
DOWN;6;29:33.3
DOWN;6;29:33.3
DOWN;6;29:33.3
DOWN;6;29:33.3
DOWN;6;29:33.4
RIGHT;6;29:33.4
RIGHT;6;29:33.4
RIGHT;6;29:33.4
RIGHT;6;29:33.4
RIGHT;6;29:33.4
RIGHT;6;29:33.5
RIGHT;6;29:33.5
RIGHT;6;29:33.5
RIGHT;6;29:33.5
RIGHT;6;29:33.5
RIGHT;6;29:33.5
RIGHT;6;29:33.6
RIGHT;6;29:33.6
RIGHT;6;29:33.6
RIGHT;6;29:33.6
RIGHT;6;29:33.6
RIGHT;6;29:33.6
RIGHT;6;29:33.7
RIGHT;6;29:33.7
RIGHT;6;29:33.7
RIGHT;6;29:33.7
RIGHT;6;29:34.0
RIGHT;6;29:34.0
RIGHT;6;29:34.0
RIGHT;6;29:34.0
RIGHT;6;29:34.0
RIGHT;6;29:34.1
RIGHT;6;29:34.1
RIGHT;6;29:34.1
RIGHT;6;29:34.1
RIGHT;6;29:34.1
RIGHT;6;29:34.1
RIGHT;6;29:34.2
RIGHT;6;29:34.2
RIGHT;6;29:34.2
RIGHT;6;29:34.2
RIGHT;6;29:34.2
RIGHT;6;29:34.2
RIGHT;6;29:34.3
RIGHT;6;29:34.3
RIGHT;6;29:34.3
RIGHT;6;29:34.3
RIGHT;6;29:34.3
RIGHT;6;29:34.3
RIGHT;6;29:34.4
RIGHT;6;29:34.4
RIGHT;6;29:34.4
RIGHT;6;29:34.4
RIGHT;6;29:34.4
RIGHT;6;29:34.4
RIGHT;6;29:34.5
RIGHT;6;29:34.5
RIGHT;6;29:34.5
RIGHT;6;29:34.5
RIGHT;6;29:34.5
RIGHT;6;29:34.5
RIGHT;6;29:34.6
RIGHT;6;29:34.6
RIGHT;6;29:34.6
RIGHT;6;29:34.6
RIGHT;6;29:34.6
RIGHT;6;29:34.6
RIGHT;6;29:34.7
RIGHT;6;29:34.7
RIGHT;6;29:34.7
RIGHT;6;29:34.7
RIGHT;6;29:34.7
RIGHT;6;29:34.7
RIGHT;6;29:34.8
RIGHT;6;29:34.8
RIGHT;6;29:34.8
RIGHT;6;29:34.8
RIGHT;6;29:34.8
RIGHT;6;29:34.8
RIGHT;6;29:34.9
RIGHT;6;29:34.9
RIGHT;6;29:34.9
RIGHT;6;29:34.9
RIGHT;6;29:34.9
RIGHT;6;29:34.9
RIGHT;6;29:35.0
RIGHT;6;29:35.0
RIGHT;6;29:35.0
RIGHT;6;29:35.0
RIGHT;6;29:35.0
RIGHT;6;29:35.1
RIGHT;6;29:35.1
RIGHT;6;29:35.1
RIGHT;6;29:35.1
RIGHT;6;29:35.1
RIGHT;6;29:35.1
DOWN;6;29:35.2
DOWN;6;29:35.2
DOWN;6;29:35.2
DOWN;6;29:35.2
DOWN;6;29:35.2
DOWN;6;29:35.2
DOWN;6;29:35.3
DOWN;6;29:35.3
DOWN;6;29:35.3
DOWN;6;29:35.3
DOWN;6;29:35.3
DOWN;6;29:35.3
DOWN;6;29:35.4
DOWN;6;29:35.4
DOWN;6;29:35.4
DOWN;6;29:35.4
DOWN;6;29:35.4
DOWN;6;29:35.4
DOWN;6;29:35.5
DOWN;6;29:35.5
DOWN;6;29:35.5
DOWN;6;29:35.5
DOWN;6;29:35.5
DOWN;6;29:35.5
DOWN;6;29:35.6
RIGHT;6;29:35.6
RIGHT;6;29:35.6
RIGHT;6;29:35.6
RIGHT;6;29:35.6
RIGHT;6;29:35.6
RIGHT;6;29:35.7
RIGHT;6;29:35.7
RIGHT;6;29:35.7
RIGHT;6;29:35.7
RIGHT;6;29:35.7
RIGHT;6;29:35.7
RIGHT;6;29:35.8
RIGHT;6;29:35.8
RIGHT;6;29:35.8
RIGHT;6;29:35.8
RIGHT;6;29:35.8
LEFT;6;29:35.9
LEFT;6;29:35.9
LEFT;6;29:36.0
LEFT;6;29:36.0
LEFT;6;29:36.0
LEFT;6;29:36.0
LEFT;6;29:36.0
LEFT;6;29:36.0
LEFT;6;29:36.1
LEFT;6;29:36.1
LEFT;6;29:36.1
LEFT;6;29:36.1
LEFT;6;29:36.1
LEFT;6;29:36.2
LEFT;6;29:36.2
LEFT;6;29:36.2
LEFT;6;29:36.2
LEFT;6;29:36.2
LEFT;6;29:36.2
LEFT;6;29:36.2
LEFT;6;29:36.3
LEFT;6;29:36.3
LEFT;6;29:36.3
LEFT;6;29:36.3
LEFT;6;29:36.3
LEFT;6;29:36.4
LEFT;6;29:36.4
LEFT;6;29:36.4
LEFT;6;29:36.4
LEFT;6;29:36.4
LEFT;6;29:36.4
LEFT;6;29:36.5
LEFT;6;29:36.5
LEFT;6;29:36.5
LEFT;6;29:36.5
LEFT;6;29:36.5
LEFT;6;29:36.5
LEFT;6;29:36.6
LEFT;6;29:36.6
LEFT;6;29:36.6
LEFT;6;29:36.6
LEFT;6;29:36.6
LEFT;6;29:36.6
LEFT;6;29:36.7
LEFT;6;29:36.7
LEFT;6;29:36.7
LEFT;6;29:36.7
LEFT;6;29:36.7
LEFT;6;29:36.7
LEFT;6;29:36.8
LEFT;6;29:36.8
LEFT;6;29:36.8
LEFT;6;29:36.8
LEFT;6;29:36.8
LEFT;6;29:36.8
LEFT;6;29:36.9
LEFT;6;29:36.9
LEFT;6;29:36.9
LEFT;6;29:36.9
LEFT;6;29:36.9
LEFT;6;29:36.9
LEFT;6;29:37.0
LEFT;6;29:37.0
LEFT;6;29:37.0
LEFT;6;29:37.0
LEFT;6;29:37.0
LEFT;6;29:37.0
LEFT;6;29:37.1
LEFT;6;29:37.1
LEFT;6;29:37.1
LEFT;6;29:37.1
LEFT;6;29:37.1
LEFT;6;29:37.1
LEFT;6;29:37.2
LEFT;6;29:37.2
LEFT;6;29:37.2
