PRESSED_KEY;TIME
PRESS_K_LEFT;29:31.4
RELEASE_K_LEFT;29:32.2
PRESS_K_UP;29:32.2
PRESS_K_LEFT;29:32.5
RELEASE_K_UP;29:32.5
RELEASE_K_LEFT;29:32.7
PRESS_K_DOWN;29:33.0
PRESS_K_RIGHT;29:33.3
RELEASE_K_DOWN;29:33.4
RELEASE_K_RIGHT;29:33.7
PRESS_K_RIGHT;29:34.0
PRESS_K_DOWN;29:35.2
RELEASE_K_RIGHT;29:35.2
PRESS_K_RIGHT;29:35.5
RELEASE_K_DOWN;29:35.6
RELEASE_K_RIGHT;29:35.8
PRESS_K_LEFT;29:35.9
PRESS_K_UP;29:37.4
RELEASE_K_LEFT;29:37.6
RELEASE_K_UP;29:37.8
PRESS_K_LEFT;29:37.8
RELEASE_K_LEFT;29:38.0
PRESS_K_RIGHT;29:38.2
PRESS_K_UP;29:39.6
RELEASE_K_RIGHT;29:39.8
PRESS_K_RIGHT;29:39.9
RELEASE_K_UP;29:39.9
PRESS_K_UP;29:40.5
RELEASE_K_RIGHT;29:40.5
RELEASE_K_UP;29:41.1
PRESS_K_LEFT;29:41.3
PRESS_K_DOWN;29:42.3
RELEASE_K_LEFT;29:42.5
RELEASE_K_DOWN;29:43.0
PRESS_K_DOWN;29:43.1
PRESS_K_RIGHT;29:43.4
RELEASE_K_DOWN;29:43.4
RELEASE_K_RIGHT;29:44.8
PRESS_K_RIGHT;29:44.9
RELEASE_K_RIGHT;29:45.3
PRESS_K_UP;29:45.3
RELEASE_K_UP;29:45.7
PRESS_K_LEFT;29:45.7
RELEASE_K_LEFT;29:45.8
PRESS_K_DOWN;29:45.8
PRESS_K_LEFT;29:46.4
RELEASE_K_DOWN;29:46.4
PRESS_K_DOWN;29:48.2
RELEASE_K_LEFT;29:48.3
PRESS_K_LEFT;29:48.4
RELEASE_K_DOWN;29:48.5
PRESS_K_UP;29:49.5
RELEASE_K_LEFT;29:49.5
RELEASE_K_UP;29:49.5
PRESS_K_LEFT;29:49.7
RELEASE_K_LEFT;29:49.7
PRESS_K_UP;29:49.8
RELEASE_K_UP;29:49.9
PRESS_K_UP;29:50.0
PRESS_K_LEFT;29:50.5
RELEASE_K_UP;29:50.5
RELEASE_K_LEFT;29:51.0
PRESS_K_RIGHT;29:51.2
PRESS_K_UP;29:52.8
RELEASE_K_RIGHT;29:52.8
PRESS_K_RIGHT;29:53.2
RELEASE_K_UP;29:53.2
RELEASE_K_RIGHT;29:53.6
PRESS_K_LEFT;29:53.8
PRESS_K_DOWN;29:55.2
RELEASE_K_LEFT;29:55.4
PRESS_K_LEFT;29:55.7
RELEASE_K_DOWN;29:55.8
RELEASE_K_LEFT;29:56.1
PRESS_K_RIGHT;29:56.3
PRESS_K_UP;29:57.8
RELEASE_K_UP;29:58.4
RELEASE_K_RIGHT;29:59.1
PRESS_K_RIGHT;29:59.2
RELEASE_K_RIGHT;29:59.2
PRESS_K_RIGHT;29:59.4
RELEASE_K_RIGHT;29:59.7
PRESS_K_RIGHT;30:00.2
RELEASE_K_RIGHT;30:00.9
PRESS_K_DOWN;30:01.1
RELEASE_K_DOWN;30:01.3
PRESS_K_RIGHT;30:01.4
RELEASE_K_RIGHT;30:01.6
PRESS_K_DOWN;30:01.6
RELEASE_K_DOWN;30:01.8
PRESS_K_LEFT;30:02.2
PRESS_K_DOWN;30:03.7
RELEASE_K_LEFT;30:03.7
RELEASE_K_DOWN;30:04.9
PRESS_K_LEFT;30:04.9
RELEASE_K_LEFT;30:05.2
PRESS_K_RIGHT;30:05.5
RELEASE_K_RIGHT;30:06.8
PRESS_K_UP;30:06.9
PRESS_K_RIGHT;30:07.7
RELEASE_K_UP;30:07.7
RELEASE_K_RIGHT;30:08.0
PRESS_K_UP;30:08.1
RELEASE_K_UP;30:08.2
PRESS_K_LEFT;30:08.3
RELEASE_K_LEFT;30:08.5
PRESS_K_RIGHT;30:08.8
RELEASE_K_RIGHT;30:09.6
PRESS_K_RIGHT;30:09.7
RELEASE_K_RIGHT;30:09.8
PRESS_K_RIGHT;30:10.0
RELEASE_K_RIGHT;30:10.9
PRESS_K_LEFT;30:11.0
RELEASE_K_LEFT;30:11.2
PRESS_K_UP;30:11.3
RELEASE_K_UP;30:11.5
PRESS_K_DOWN;30:11.9
RELEASE_K_DOWN;30:13.4
PRESS_K_DOWN;30:14.0
RELEASE_K_DOWN;30:15.0
PRESS_K_DOWN;30:15.1
RELEASE_K_DOWN;30:15.5
PRESS_K_LEFT;30:15.5
RELEASE_K_LEFT;30:15.7
PRESS_K_UP;30:15.8
PRESS_K_RIGHT;30:16.0
RELEASE_K_UP;30:16.0
RELEASE_K_RIGHT;30:16.1
PRESS_K_LEFT;30:16.5
PRESS_K_UP;30:16.9
RELEASE_K_LEFT;30:16.9
RELEASE_K_UP;30:17.9
PRESS_K_LEFT;30:18.0
PRESS_K_UP;30:19.9
RELEASE_K_LEFT;30:19.9
RELEASE_K_UP;30:20.5
PRESS_K_DOWN;30:21.5
RELEASE_K_DOWN;30:21.7
PRESS_K_RIGHT;30:22.0
RELEASE_K_RIGHT;30:24.5
PRESS_K_RIGHT;30:25.0
PRESS_K_DOWN;30:25.3
RELEASE_K_RIGHT;30:25.5
PRESS_K_RIGHT;30:26.2
RELEASE_K_DOWN;30:26.2
RELEASE_K_RIGHT;30:26.5
PRESS_K_DOWN;30:26.5
RELEASE_K_DOWN;30:26.8
PRESS_K_LEFT;30:26.9
RELEASE_K_LEFT;30:27.1
PRESS_K_UP;30:27.2
PRESS_K_RIGHT;30:27.4
RELEASE_K_UP;30:27.4
RELEASE_K_RIGHT;30:27.7
PRESS_K_LEFT;30:27.8
PRESS_K_UP;30:28.1
RELEASE_K_LEFT;30:28.3
RELEASE_K_UP;30:28.4
PRESS_K_LEFT;30:28.6
RELEASE_K_LEFT;30:29.0
PRESS_K_UP;30:29.1
RELEASE_K_UP;30:30.3
PRESS_K_LEFT;30:30.3
RELEASE_K_LEFT;30:30.7
PRESS_K_LEFT;30:31.0
RELEASE_K_LEFT;30:32.5
PRESS_K_RIGHT;30:32.5
RELEASE_K_RIGHT;30:32.9
PRESS_K_LEFT;30:33.1
RELEASE_K_LEFT;30:35.4
PRESS_K_UP;30:35.6
RELEASE_K_UP;30:35.8
PRESS_K_LEFT;30:35.9
RELEASE_K_LEFT;30:36.1
PRESS_K_RIGHT;30:36.4
RELEASE_K_RIGHT;30:37.5
PRESS_K_RIGHT;30:37.5
PRESS_K_DOWN;30:37.9
RELEASE_K_RIGHT;30:37.9
RELEASE_K_DOWN;30:38.7
PRESS_K_LEFT;30:39.2
RELEASE_K_LEFT;30:39.4
PRESS_K_DOWN;30:40.5
RELEASE_K_DOWN;30:40.5
PRESS_K_UP;30:40.5
RELEASE_K_UP;30:40.5
PRESS_K_DOWN;30:40.9
RELEASE_K_DOWN;30:41.3
PRESS_K_LEFT;30:41.3
RELEASE_K_LEFT;30:41.7
PRESS_K_LEFT;30:42.1
PRESS_K_DOWN;30:42.2
RELEASE_K_LEFT;30:42.3
RELEASE_K_DOWN;30:42.4
PRESS_K_UP;30:43.0
RELEASE_K_UP;30:43.3
PRESS_K_UP;30:43.6
PRESS_K_LEFT;30:43.7
RELEASE_K_UP;30:43.8
RELEASE_K_LEFT;30:43.9
PRESS_K_RIGHT;30:44.1
