DIRECTION,SPEED,TIME
UP,6,2018-09-12 14:31:15.094
UP,6,2018-09-12 14:31:15.112
UP,6,2018-09-12 14:31:15.129
UP,6,2018-09-12 14:31:15.146
UP,6,2018-09-12 14:31:15.163
UP,6,2018-09-12 14:31:15.180
UP,6,2018-09-12 14:31:15.197
UP,6,2018-09-12 14:31:15.214
UP,6,2018-09-12 14:31:15.231
RIGHT,6,2018-09-12 14:31:15.249
RIGHT,6,2018-09-12 14:31:15.265
RIGHT,6,2018-09-12 14:31:15.282
RIGHT,6,2018-09-12 14:31:15.299
RIGHT,6,2018-09-12 14:31:15.316
RIGHT,6,2018-09-12 14:31:15.333
RIGHT,6,2018-09-12 14:31:15.350
RIGHT,6,2018-09-12 14:31:15.367
RIGHT,6,2018-09-12 14:31:15.384
RIGHT,6,2018-09-12 14:31:15.400
RIGHT,6,2018-09-12 14:31:15.417
RIGHT,6,2018-09-12 14:31:15.434
RIGHT,6,2018-09-12 14:31:15.450
RIGHT,6,2018-09-12 14:31:15.467
RIGHT,6,2018-09-12 14:31:15.484
RIGHT,6,2018-09-12 14:31:15.501
RIGHT,6,2018-09-12 14:31:15.518
UP,6,2018-09-12 14:31:15.535
UP,6,2018-09-12 14:31:15.552
UP,6,2018-09-12 14:31:15.569
UP,6,2018-09-12 14:31:15.586
UP,6,2018-09-12 14:31:15.603
UP,6,2018-09-12 14:31:15.620
UP,6,2018-09-12 14:31:15.637
UP,6,2018-09-12 14:31:15.655
UP,6,2018-09-12 14:31:15.672
UP,6,2018-09-12 14:31:15.689
UP,6,2018-09-12 14:31:15.706
UP,6,2018-09-12 14:31:15.723
UP,6,2018-09-12 14:31:15.739
UP,6,2018-09-12 14:31:15.755
UP,6,2018-09-12 14:31:15.772
UP,6,2018-09-12 14:31:15.789
UP,6,2018-09-12 14:31:15.805
UP,6,2018-09-12 14:31:15.822
DOWN,6,2018-09-12 14:31:16.290
DOWN,6,2018-09-12 14:31:16.307
DOWN,6,2018-09-12 14:31:16.324
DOWN,6,2018-09-12 14:31:16.341
DOWN,6,2018-09-12 14:31:16.358
DOWN,6,2018-09-12 14:31:16.375
DOWN,6,2018-09-12 14:31:16.392
DOWN,6,2018-09-12 14:31:16.409
DOWN,6,2018-09-12 14:31:16.426
DOWN,6,2018-09-12 14:31:16.443
DOWN,6,2018-09-12 14:31:16.459
DOWN,6,2018-09-12 14:31:16.475
DOWN,6,2018-09-12 14:31:16.491
DOWN,6,2018-09-12 14:31:16.508
DOWN,6,2018-09-12 14:31:16.525
DOWN,6,2018-09-12 14:31:16.543
DOWN,6,2018-09-12 14:31:16.560
DOWN,6,2018-09-12 14:31:16.577
