PRESSED_KEY,TIME
PRESS_K_UP,2018-09-12 14:31:15.094
PRESS_K_RIGHT,2018-09-12 14:31:15.231
RELEASE_K_UP,2018-09-12 14:31:15.249
PRESS_K_UP,2018-09-12 14:31:15.535
RELEASE_K_RIGHT,2018-09-12 14:31:15.552
RELEASE_K_UP,2018-09-12 14:31:15.838
PRESS_K_DOWN,2018-09-12 14:31:16.290
PRESS_K_LEFT,2018-09-12 14:31:17.082
RELEASE_K_DOWN,2018-09-12 14:31:17.117
RELEASE_K_LEFT,2018-09-12 14:31:17.949
PRESS_K_UP,2018-09-12 14:31:18.323
PRESS_K_RIGHT,2018-09-12 14:31:19.500
RELEASE_K_UP,2018-09-12 14:31:19.517
PRESS_K_DOWN,2018-09-12 14:31:21.356
RELEASE_K_RIGHT,2018-09-12 14:31:21.376
RELEASE_K_DOWN,2018-09-12 14:31:22.170
PRESS_K_LEFT,2018-09-12 14:31:22.208
PRESS_K_UP,2018-09-12 14:31:22.570
RELEASE_K_LEFT,2018-09-12 14:31:22.652
RELEASE_K_UP,2018-09-12 14:31:23.195
PRESS_K_DOWN,2018-09-12 14:31:23.398
RELEASE_K_DOWN,2018-09-12 14:31:24.969
PRESS_K_DOWN,2018-09-12 14:31:25.934
RELEASE_K_DOWN,2018-09-12 14:31:26.654
PRESS_K_DOWN,2018-09-12 14:31:26.824
PRESS_K_RIGHT,2018-09-12 14:31:26.941
RELEASE_K_DOWN,2018-09-12 14:31:26.973
RELEASE_K_RIGHT,2018-09-12 14:31:27.124
PRESS_K_UP,2018-09-12 14:31:27.240
RELEASE_K_UP,2018-09-12 14:31:27.517
PRESS_K_LEFT,2018-09-12 14:31:27.686
RELEASE_K_LEFT,2018-09-12 14:31:29.125
PRESS_K_UP,2018-09-12 14:31:29.159
RELEASE_K_UP,2018-09-12 14:31:29.837
PRESS_K_RIGHT,2018-09-12 14:31:30.097
PRESS_K_UP,2018-09-12 14:31:31.085
RELEASE_K_RIGHT,2018-09-12 14:31:31.119
PRESS_K_RIGHT,2018-09-12 14:31:31.170
RELEASE_K_UP,2018-09-12 14:31:31.205
RELEASE_K_RIGHT,2018-09-12 14:31:31.662
PRESS_K_UP,2018-09-12 14:31:31.862
RELEASE_K_UP,2018-09-12 14:31:32.174
PRESS_K_LEFT,2018-09-12 14:31:32.309
RELEASE_K_LEFT,2018-09-12 14:31:34.728
PRESS_K_LEFT,2018-09-12 14:31:35.067
RELEASE_K_LEFT,2018-09-12 14:31:36.128
PRESS_K_UP,2018-09-12 14:31:36.145
RELEASE_K_UP,2018-09-12 14:31:36.564
PRESS_K_DOWN,2018-09-12 14:31:36.768
RELEASE_K_DOWN,2018-09-12 14:31:37.178
PRESS_K_RIGHT,2018-09-12 14:31:37.196
RELEASE_K_RIGHT,2018-09-12 14:31:38.435
PRESS_K_LEFT,2018-09-12 14:31:38.518
PRESS_K_DOWN,2018-09-12 14:31:39.978
RELEASE_K_LEFT,2018-09-12 14:31:39.995
RELEASE_K_DOWN,2018-09-12 14:31:40.973
PRESS_K_LEFT,2018-09-12 14:31:41.060
RELEASE_K_LEFT,2018-09-12 14:31:41.192
PRESS_K_UP,2018-09-12 14:31:41.210
RELEASE_K_UP,2018-09-12 14:31:41.458
PRESS_K_RIGHT,2018-09-12 14:31:41.571
RELEASE_K_RIGHT,2018-09-12 14:31:44.143
PRESS_K_RIGHT,2018-09-12 14:31:44.143
RELEASE_K_RIGHT,2018-09-12 14:31:44.917
PRESS_K_UP,2018-09-12 14:31:44.917
RELEASE_K_UP,2018-09-12 14:31:45.728
PRESS_K_UP,2018-09-12 14:31:45.896
RELEASE_K_UP,2018-09-12 14:31:47.148
PRESS_K_UP,2018-09-12 14:31:47.148
RELEASE_K_UP,2018-09-12 14:31:47.386
PRESS_K_LEFT,2018-09-12 14:31:47.861
RELEASE_K_LEFT,2018-09-12 14:31:48.716
PRESS_K_LEFT,2018-09-12 14:31:49.090
PRESS_K_DOWN,2018-09-12 14:31:49.502
RELEASE_K_LEFT,2018-09-12 14:31:49.519
RELEASE_K_DOWN,2018-09-12 14:31:50.571
PRESS_K_UP,2018-09-12 14:31:50.862
PRESS_K_RIGHT,2018-09-12 14:31:51.800
RELEASE_K_UP,2018-09-12 14:31:51.817
RELEASE_K_RIGHT,2018-09-12 14:31:52.122
PRESS_K_LEFT,2018-09-12 14:31:52.413
PRESS_K_DOWN,2018-09-12 14:31:52.729
RELEASE_K_LEFT,2018-09-12 14:31:52.779
RELEASE_K_DOWN,2018-09-12 14:31:55.141
PRESS_K_LEFT,2018-09-12 14:31:55.141
RELEASE_K_LEFT,2018-09-12 14:31:55.141
PRESS_K_LEFT,2018-09-12 14:31:55.154
RELEASE_K_LEFT,2018-09-12 14:31:55.154
PRESS_K_DOWN,2018-09-12 14:31:55.154
RELEASE_K_DOWN,2018-09-12 14:31:55.154
PRESS_K_LEFT,2018-09-12 14:31:55.154
RELEASE_K_LEFT,2018-09-12 14:31:55.221
PRESS_K_LEFT,2018-09-12 14:31:55.388
RELEASE_K_LEFT,2018-09-12 14:31:55.572
PRESS_K_UP,2018-09-12 14:31:55.810
RELEASE_K_UP,2018-09-12 14:31:56.725
PRESS_K_DOWN,2018-09-12 14:31:56.959
PRESS_K_RIGHT,2018-09-12 14:31:57.396
RELEASE_K_DOWN,2018-09-12 14:31:57.635
RELEASE_K_RIGHT,2018-09-12 14:31:58.710
PRESS_K_RIGHT,2018-09-12 14:31:58.933
RELEASE_K_RIGHT,2018-09-12 14:31:59.070
PRESS_K_RIGHT,2018-09-12 14:32:00.136
RELEASE_K_RIGHT,2018-09-12 14:32:00.136
PRESS_K_RIGHT,2018-09-12 14:32:00.136
PRESS_K_DOWN,2018-09-12 14:32:00.136
RELEASE_K_RIGHT,2018-09-12 14:32:00.136
RELEASE_K_DOWN,2018-09-12 14:32:00.136
PRESS_K_DOWN,2018-09-12 14:32:00.136
RELEASE_K_DOWN,2018-09-12 14:32:00.202
PRESS_K_DOWN,2018-09-12 14:32:00.355
RELEASE_K_DOWN,2018-09-12 14:32:00.761
PRESS_K_RIGHT,2018-09-12 14:32:00.778
RELEASE_K_RIGHT,2018-09-12 14:32:00.830
PRESS_K_DOWN,2018-09-12 14:32:00.863
PRESS_K_RIGHT,2018-09-12 14:32:01.368
RELEASE_K_DOWN,2018-09-12 14:32:01.422
PRESS_K_UP,2018-09-12 14:32:03.030
RELEASE_K_RIGHT,2018-09-12 14:32:03.065
RELEASE_K_UP,2018-09-12 14:32:03.438
PRESS_K_DOWN,2018-09-12 14:32:03.643
RELEASE_K_DOWN,2018-09-12 14:32:06.155
PRESS_K_DOWN,2018-09-12 14:32:06.308
PRESS_K_RIGHT,2018-09-12 14:32:06.983
RELEASE_K_DOWN,2018-09-12 14:32:07.016
RELEASE_K_RIGHT,2018-09-12 14:32:08.147
PRESS_K_RIGHT,2018-09-12 14:32:08.163
RELEASE_K_RIGHT,2018-09-12 14:32:08.706
PRESS_K_RIGHT,2018-09-12 14:32:08.961
RELEASE_K_RIGHT,2018-09-12 14:32:09.131
PRESS_K_RIGHT,2018-09-12 14:32:09.184
RELEASE_K_RIGHT,2018-09-12 14:32:11.149
PRESS_K_LEFT,2018-09-12 14:32:11.149
RELEASE_K_LEFT,2018-09-12 14:32:12.875
PRESS_K_LEFT,2018-09-12 14:32:13.079
RELEASE_K_LEFT,2018-09-12 14:32:15.024
PRESS_K_UP,2018-09-12 14:32:15.076
RELEASE_K_UP,2018-09-12 14:32:16.608
PRESS_K_UP,2018-09-12 14:32:16.780
RELEASE_K_UP,2018-09-12 14:32:17.237
PRESS_K_LEFT,2018-09-12 14:32:17.506
RELEASE_K_LEFT,2018-09-12 14:32:18.071
PRESS_K_DOWN,2018-09-12 14:32:18.174
RELEASE_K_DOWN,2018-09-12 14:32:18.538
PRESS_K_UP,2018-09-12 14:32:18.707
RELEASE_K_UP,2018-09-12 14:32:19.149
PRESS_K_DOWN,2018-09-12 14:32:19.287
RELEASE_K_DOWN,2018-09-12 14:32:19.817
PRESS_K_UP,2018-09-12 14:32:19.935
RELEASE_K_UP,2018-09-12 14:32:21.268
PRESS_K_LEFT,2018-09-12 14:32:21.285
RELEASE_K_LEFT,2018-09-12 14:32:21.687
PRESS_K_RIGHT,2018-09-12 14:32:21.858
RELEASE_K_RIGHT,2018-09-12 14:32:22.189
PRESS_K_RIGHT,2018-09-12 14:32:22.493
PRESS_K_DOWN,2018-09-12 14:32:22.677
RELEASE_K_RIGHT,2018-09-12 14:32:22.710
RELEASE_K_DOWN,2018-09-12 14:32:23.306
PRESS_K_DOWN,2018-09-12 14:32:23.355
RELEASE_K_DOWN,2018-09-12 14:32:23.855
PRESS_K_DOWN,2018-09-12 14:32:25.144
RELEASE_K_DOWN,2018-09-12 14:32:25.144
PRESS_K_LEFT,2018-09-12 14:32:25.144
RELEASE_K_LEFT,2018-09-12 14:32:25.497
PRESS_K_UP,2018-09-12 14:32:25.633
RELEASE_K_UP,2018-09-12 14:32:25.991
PRESS_K_DOWN,2018-09-12 14:32:26.131
RELEASE_K_DOWN,2018-09-12 14:32:26.470
PRESS_K_UP,2018-09-12 14:32:26.576
RELEASE_K_UP,2018-09-12 14:32:28.115
PRESS_K_UP,2018-09-12 14:32:29.145
RELEASE_K_UP,2018-09-12 14:32:29.145
PRESS_K_LEFT,2018-09-12 14:32:29.145
RELEASE_K_LEFT,2018-09-12 14:32:29.227
PRESS_K_DOWN,2018-09-12 14:32:29.853
RELEASE_K_DOWN,2018-09-12 14:32:30.633
PRESS_K_LEFT,2018-09-12 14:32:30.974
PRESS_K_UP,2018-09-12 14:32:32.228
RELEASE_K_LEFT,2018-09-12 14:32:32.228
RELEASE_K_UP,2018-09-12 14:32:33.227
PRESS_K_RIGHT,2018-09-12 14:32:33.565
RELEASE_K_RIGHT,2018-09-12 14:32:34.724
PRESS_K_UP,2018-09-12 14:32:35.365
RELEASE_K_UP,2018-09-12 14:32:35.568
PRESS_K_DOWN,2018-09-12 14:32:35.759
RELEASE_K_DOWN,2018-09-12 14:32:36.769
PRESS_K_LEFT,2018-09-12 14:32:36.786
RELEASE_K_LEFT,2018-09-12 14:32:37.150
PRESS_K_DOWN,2018-09-12 14:32:37.355
RELEASE_K_DOWN,2018-09-12 14:32:37.577
PRESS_K_UP,2018-09-12 14:32:37.696
RELEASE_K_UP,2018-09-12 14:32:39.112
