RANDOM_EVENT,TIME
ZOMBIE_EATS,2018-09-12 14:31:15.805
ZOMBIE_EATS,2018-09-12 14:31:17.708
ZOMBIE_EATS,2018-09-12 14:31:20.263
ZOMBIE_EATS,2018-09-12 14:31:21.781
ZOMBIE_EATS,2018-09-12 14:31:22.940
ZOMBIE_SCREAM,2018-09-12 14:31:24.128
START_SLOW_DOWN,2018-09-12 14:31:24.129
END_SLOW_DOWN,2018-09-12 14:31:26.134
ZOMBIE_EATS,2018-09-12 14:31:27.240
ZOMBIE_EATS,2018-09-12 14:31:29.007
ZOMBIE_EATS,2018-09-12 14:31:31.308
ZOMBIE_EATS,2018-09-12 14:31:31.914
ZOMBIE_SCREAM,2018-09-12 14:31:32.120
START_SLOW_DOWN,2018-09-12 14:31:32.120
END_SLOW_DOWN,2018-09-12 14:31:34.133
ZOMBIE_EATS,2018-09-12 14:31:34.608
ZOMBIE_EATS,2018-09-12 14:31:36.463
ZOMBIE_EATS,2018-09-12 14:31:38.020
ZOMBIE_EATS,2018-09-12 14:31:41.060
START_HUMAN_ERROR,2018-09-12 14:31:43.128
END_HUMAN_ERROR,2018-09-12 14:31:44.128
ZOMBIE_SCREAM,2018-09-12 14:31:45.123
START_SLOW_DOWN,2018-09-12 14:31:45.123
START_HUMAN_ERROR,2018-09-12 14:31:46.129
END_HUMAN_ERROR,2018-09-12 14:31:47.131
END_SLOW_DOWN,2018-09-12 14:31:47.147
ZOMBIE_EATS,2018-09-12 14:31:47.368
ZOMBIE_EATS,2018-09-12 14:31:50.469
ZOMBIE_EATS,2018-09-12 14:31:51.867
ZOMBIE_EATS,2018-09-12 14:31:52.865
START_HUMAN_ERROR,2018-09-12 14:31:53.122
END_HUMAN_ERROR,2018-09-12 14:31:54.124
START_HUMAN_ERROR,2018-09-12 14:31:54.140
END_HUMAN_ERROR,2018-09-12 14:31:55.141
ZOMBIE_EATS,2018-09-12 14:31:55.388
ZOMBIE_EATS,2018-09-12 14:31:56.572
ZOMBIE_SCREAM,2018-09-12 14:31:57.126
START_SLOW_DOWN,2018-09-12 14:31:57.126
START_HUMAN_ERROR,2018-09-12 14:31:59.121
END_HUMAN_ERROR,2018-09-12 14:32:00.122
END_SLOW_DOWN,2018-09-12 14:32:00.134
ZOMBIE_SCREAM,2018-09-12 14:32:00.135
START_SLOW_DOWN,2018-09-12 14:32:00.136
ZOMBIE_EATS,2018-09-12 14:32:01.101
END_SLOW_DOWN,2018-09-12 14:32:02.146
ZOMBIE_EATS,2018-09-12 14:32:03.149
START_HUMAN_ERROR,2018-09-12 14:32:04.127
END_HUMAN_ERROR,2018-09-12 14:32:05.128
START_HUMAN_ERROR,2018-09-12 14:32:05.141
END_HUMAN_ERROR,2018-09-12 14:32:06.141
START_HUMAN_ERROR,2018-09-12 14:32:07.133
END_HUMAN_ERROR,2018-09-12 14:32:08.134
ZOMBIE_SCREAM,2018-09-12 14:32:08.146
START_SLOW_DOWN,2018-09-12 14:32:08.147
ZOMBIE_EATS,2018-09-12 14:32:09.962
START_HUMAN_ERROR,2018-09-12 14:32:10.131
END_HUMAN_ERROR,2018-09-12 14:32:11.131
END_SLOW_DOWN,2018-09-12 14:32:11.147
ZOMBIE_SCREAM,2018-09-12 14:32:11.148
START_RANDOM_MOVEMENT,2018-09-12 14:32:11.149
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.149
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.164
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.181
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.198
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.215
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.232
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.249
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.266
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.283
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.300
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.317
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.334
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.351
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.368
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.385
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.403
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.420
MOVE_RANDOM_FUNCTION_ACTIVATED,2018-09-12 14:32:11.437
